 316 , RFR               , 3       , 2      , $0.0013    , $0.0013    , 0%       , 147.09 k  

 317 , RLC               , 5       , 3      , $0.2905    , $0.2876    , -1%      , 204.94 k  

 318 , RSR               , 1       , 1      , $0.0032    , $0.0032    , 1%       , 77.78 k   

 319 , RVN               , 6       , 3      , $0.0390    , $0.0397    , 2%       , 5.37 m    

 320 , RVR               , 2       , 2      , $0.0086    , $0.0085    , -1%      , 19.55 k   

 321 , SALT              , 2       , 1      , $0.1149    , $0.1148    , 0%       , 31.26 k   

 322 , SBTC              , 1       , 1      , $1.95      , N/A        , N/A      , 13.33 k   
